584, 142, 3548, 1619, 5893
562, 144, 3563, 1658, 5927
571, 140, 3560, 1696, 5967
595, 130, 3544, 1739, 6008
175, 1, 1433, 1193, 2802
199, 0, 1358, 1347, 2904
200, 0, 1409, 1376, 2985
202, 0, 1414, 1420, 3036
494, 2, 1440, 8453, 10389
691, 0, 1734, 10960, 13385
684, 0, 1597, 11568, 13849
1035, 0, 1584, 14642, 17261
358, 1, 839, 494, 1692
508, 0, 845, 699, 2052
578, 0, 1154, 627, 2359
809, 0, 1026, 1061, 2896
432, 3, 797, 3383, 4615
575, 0, 871, 4116, 5562
564, 0, 881, 4171, 5616
791, 0, 841, 5030, 6662
199, 0, 734, 2717, 3650
314, 0, 771, 3569, 4654
315, 0, 779, 3568, 4662
521, 0, 844, 4674, 6039
188, 0, 731, 2849, 3768
296, 0, 777, 3642, 4715
300, 0, 776, 3670, 4746
483, 0, 841, 4805, 6129
575, 19, 777, 3158, 4529
717, 1, 755, 3804, 5277
714, 0, 869, 3979, 5562
932, 0, 884, 4661, 6477
502, 2, 699, 3149, 4352
669, 0, 706, 3873, 5248
672, 0, 874, 3980, 5526
912, 0, 811, 4818, 6541
